id,unitName,unitType,themeSongRes,member0,member1,member2,member3,member4,#member0,#member1,#member2,#member3,#member4,membercount,Description
61,C5 from SS,special,アタシポンコツアンドロイド,25,20,1,6,11,코히나타 미호,아베 나나,시마무라 우즈키,후타바 안즈,마에카와 미쿠,5,데레스테 이벤트 [アタシポンコツアンドロイド] 때 등장한 유닛. C5는 미호의 제안으로 각자의 C를 모아 정하게 되었다. 우즈키는 Cute. 미쿠는 Cat. 나나[리더]는 Challenge. 안즈는 Character. 미호는 Chance다.
62,트로피컬☆스타즈 from SS,special,Orange Sapphire,3,4,5,7,8,혼다 미오,죠가사키 미카,죠가사키 리카,모로보시 키라리,아카기 미리아,5,데레스테 이벤트 [Orange Sapphire] 때 등장한 유닛. 주얼리즈 패션 1탄의 참가 멤버인 모로보시 키라리. 죠가사키 리카. 죠가사키 미카[리더]. 아카기 미리아. 혼다 미오로 구성된 패션 유닛. 유닛명은 트로피컬한 노래라서 트로피컬 스타즈. 각 멤버들 포지션은 데코레이션 멤버가 '저마다 가장 최고인 분야가 뭘까'에 대해 수다를 나누다 정해졌는데 키라리는 5명 중 가장 해피해피. 리카는 5명 중 가장 섹시. 미카는 5명 중 가장 카리스마. 미리아는 5명 중 가장 활발. 미오는 5명 중 가장 반짝반짝이라고 한다.
63,사쿠야히메 from SS,special,パステルピンクな恋,9,17,10,22,19,미무라 카나코,코시미즈 사치코,오가타 치에리,사쿠마 마유,코바야카와 사에,5,데레스테 이벤트 [パステルピンクな恋] 때 등장한 유닛. 주얼리즈 큐트 2탄 참가 멤버인 코시미즈 사치코. 미무라 카나코[리더]. 오가타 치에리. 코바야카와 사에. 사쿠마 마유로 구성된 큐트 유닛. 유닛명은 벚꽃의 이름을 따서 정했다. 
64,쌍익의 인도자,special,,13,73,,,,칸자키 란코,하야미 카나데,,,,2,아이돌 LIVE 투어 in 하와이 때 등장한 유닛
65,GW FUN CIRCUITS,special,,1,73,30,,,시마무라 우즈키,하야미 카나데,히노 아카네,,,3,제21회 드림 LIVE 페스티벌 때 등장한 유닛
66,모노크롬 릴리,special,,73,27,,,,하야미 카나데,호죠 카렌,,,,2,제2회 아이돌 LIVE 로얄 때 등장한 유닛
67,디어 아우로라,special,,14,73,,,,닛타 미나미,하야미 카나데,,,,2,제8회 아이돌 LIVE 로얄 때 등장한 유닛
68,유류유리[옆 동네] 쿄코. 유이. 마리,special,,9,25,13,,,미무라 카나코,코히나타 미호,칸자키 란코,,,3,유류유리[ゆるゆり] 애니메이션의 쿄코[오오츠보 유카 - 카나코]. 유이[츠다 미나미 - 미호]. 마리[우치다 마아야 - 란코]로 구성된 성우 장난 유닛
69,서바게부[옆 동네] 컴비네이션,special,,1,29,26,,,시마무라 우즈키,카와시마 미즈키,카미야 나오,,,3,서바게부[さばげぶっ！] 애니메이션의 모모카[오오하시 아야카 - 우즈키]. 카요[토야마 나오 - 미즈키]. 야요이[마츠이 에리코 - 나오]로 구성된 성우 장난 유닛
70,찾아보자! 부활동[옆 동네] 컴비네이션,special,,1,11,15,,,시마무라 우즈키,마에카와 미쿠,아나스타샤,,,3,찾아보자! 부활동[여고생 수다클럽. てさぐれ！部活もの] 애니메이션의 코하루[오오하시 아야카 - 우즈키]. 유이[타카모리 나츠미 - 미쿠]. 토모미[우에사카 스미레 - 아나스타샤]로 구성된 성우 장난 유닛
71,평범한 여고생이...[옆 동네] 타지역 아이돌,special,,4,8,,,,죠가사키 미카,아카기 미리아,,,,2,평범한 여고생이 지역 아이돌을 해 보았다[普通の女子校生が【ろこどる】やってみた] 애니메이션의 타지역의 아이돌인 유키[요시무라 하루카 - 미카]. 츠바사[쿠로사와 토모요 - 미리아]로 구성된 성우 장난 유닛. 참고로 해당 애니메이션은 아이돌마스터 시리즈에 출연했던 많은 성우들이 등장한다. 신데렐라걸즈만 6명
72,숲의 수인,special,,8,75,5,,,아카기 미리아,이치하라 니나,죠가사키 리카,,,3,환상공연 영광의 슈발리에 때 등장한 유닛
73,물장구 치는 소녀들,special,,75,30,18,,,이치하라 니나,히노 아카네,히메카와 유키,,,3,동화공연 만져대는 늑대와 빨간두건 때 등장한 유닛
74,육구 애니멀즈,special,,11,75,5,,,마에카와 미쿠,이치하라 니나,죠가사키 리카,,,3,제4회 드림 LIVE 페스티벌 때 등장한 유닛
75,오징어 장미 프린세스,special,,71,75,,,,사쿠라이 모모카,이치하라 니나,,,,2,제8회 드림 LIVE 페스티벌 때 등장한 유닛. 조금 더 나이가 많은 모모카가 니나를 보살피는 형태로 자주 등장한다. 니나가 [바다의 생물] 카드 특훈 후에 입는 오징어 인형옷과 모모카의 주요 모티브인 장미. 오징어[이카]와 장미[바라]를 합쳐 [이카바라]. 이카바라는 오징어배와 발음이 같다. [오징어배]라는 것은 유아체형에게 자주 보이는 불룩 나온 배를 말하는 속칭. 정리하면 니나와 모모카로 구성된 로리유닛이라고 보면 되겠다. 참고로 모모카는 의상의 색이 홍백이므로 좋은 기운이 느껴진다는 말도 한다.
76,CD debut 니나&유키,special,,18,75,,,,히메카와 유키,이치하라 니나,,,,2,복은 안으로 DE 드림 LIVE 페스티벌 때 등장한 유닛
77,리틀 플레이어즈,special,,23,75,,,,사사키 치에,이치하라 니나,,,,2,제15회 드림 LIVE 페스티벌 때 등장한 유닛
78,오징어 장미 퓨어 프린세스,special,,23,71,75,,,사사키 치에,사쿠라이 모모카,이치하라 니나,,,3,드림 LIVE 페스티벌 세츠분 SP 때 등장한 유닛. [오징어 장미 프린세스]에 퓨어[치에]가 더해진 유닛. 니나가 왜 오징어인가 혹은 오징어 장미란 단어조합한 이유가 무엇인가 등에 대한 설명은 [오징어 장미 프린세스]를 조합해서 읽어보도록 하자. 오징어[니나]. 장미[모모카]. 퓨어[치에]가 더해진 강력한 로리유닛이라고 볼 수 있겠다.
79,야생의 각성,special,,75,5,6,,,이치하라 니나,죠가사키 리카,후타바 안즈,,,3,제20회 드림 LIVE 페스티벌 때 등장한 유닛
80,에이스 미즈키와 조력자 아카네,special,,29,30,,,,카와시마 미즈키,히노 아카네,,,,2,아이돌 LIVE 로얄 in SUMMER 때 등장한 유닛
81,신데렐라 드림 Ver.1,special,,9,8,12,,,미무라 카나코,아카기 미리아,타다 리이나,,,3,제3회 드림 LIVE 페스티벌 때 등장한 유닛. 신데렐라 드림이라는 유닛은 멤버를 조금씩 바꾸어가면서 자주 등장한다. 이 게임에서는 버전 숫자로 구분하고 있다. 
82,신데렐라 드림 Ver.2,special,,9,14,32,,,미무라 카나코,닛타 미나미,타카모리 아이코,,,3,제6회 드림 LIVE 페스티벌 때 등장한 유닛. 신데렐라 드림이라는 유닛은 멤버를 조금씩 바꾸어가면서 자주 등장한다. 이 게임에서는 버전 숫자로 구분하고 있다. 
83,신데렐라 드림 Ver.3,special,,14,11,32,,,닛타 미나미,마에카와 미쿠,타카모리 아이코,,,3,제7회 드림 LIVE 페스티벌 때 등장한 유닛. 신데렐라 드림이라는 유닛은 멤버를 조금씩 바꾸어가면서 자주 등장한다. 이 게임에서는 버전 숫자로 구분하고 있다. 
84,신데렐라 드림 Ver.4,special,,14,32,69,,,닛타 미나미,타카모리 아이코,토토키 아이리,,,3,제8회 드림 LIVE 페스티벌 때 등장한 유닛. 신데렐라 드림이라는 유닛은 멤버를 조금씩 바꾸어가면서 자주 등장한다. 이 게임에서는 버전 숫자로 구분하고 있다. 
85,신데렐라 드림 Ver.5,special,,14,19,32,,,닛타 미나미,코바야카와 사에,타카모리 아이코,,,3,제9회 드림 LIVE 페스티벌 때 등장한 유닛. 신데렐라 드림이라는 유닛은 멤버를 조금씩 바꾸어가면서 자주 등장한다. 이 게임에서는 버전 숫자로 구분하고 있다. 
86,신데렐라 드림 Ver.6,special,,14,9,12,,,닛타 미나미,미무라 카나코,타다 리이나,,,3,제13회 드림 LIVE 페스티벌 때 등장한 유닛. 신데렐라 드림이라는 유닛은 멤버를 조금씩 바꾸어가면서 자주 등장한다. 이 게임에서는 버전 숫자로 구분하고 있다. 
87,신데렐라 드림 Ver.7,special,,11,34,8,,,마에카와 미쿠,시라사카 코우메,아카기 미리아,,,3,드림 LIVE 페스티벌 신춘 SP 때 등장한 유닛. 신데렐라 드림이라는 유닛은 멤버를 조금씩 바꾸어가면서 자주 등장한다. 이 게임에서는 버전 숫자로 구분하고 있다. 
88,신데렐라 드림 Ver.8.1,special,,30,14,,,,히노 아카네,닛타 미나미,,,,2,드림 LIVE 페스티벌 세츠분 SP 때 등장한 유닛. 신데렐라 드림이라는 유닛은 멤버를 조금씩 바꾸어가면서 자주 등장한다. 이 게임에서는 버전 숫자로 구분하고 있다. 특히 세츠분 스페셜 때에는 아카네를 두고 멤버를 바꿔가면서 동명의 유닛을 다수 등장시켰다. 바뀌는 멤버는 기존 신데델라 드림에 포함되었던 멤버들. 그러나 미쿠는 없다. ㅜㅜ 그러고 보면 아카네랑 미쿠는 다른 유닛도 짠 적이 없는 것 같다.
89,신데렐라 드림 Ver.8.2,special,,30,69,,,,히노 아카네,토토키 아이리,,,,2,드림 LIVE 페스티벌 세츠분 SP 때 등장한 유닛. 신데렐라 드림이라는 유닛은 멤버를 조금씩 바꾸어가면서 자주 등장한다. 이 게임에서는 버전 숫자로 구분하고 있다. 특히 세츠분 스페셜 때에는 아카네를 두고 멤버를 바꿔가면서 동명의 유닛을 다수 등장시켰다. 바뀌는 멤버는 기존 신데델라 드림에 포함되었던 멤버들. 그러나 미쿠는 없다. ㅜㅜ 그러고 보면 아카네랑 미쿠는 다른 유닛도 짠 적이 없는 것 같다.
90,신데렐라 드림 Ver.8.3,special,,30,32,,,,히노 아카네,타카모리 아이코,,,,2,드림 LIVE 페스티벌 세츠분 SP 때 등장한 유닛. 신데렐라 드림이라는 유닛은 멤버를 조금씩 바꾸어가면서 자주 등장한다. 이 게임에서는 버전 숫자로 구분하고 있다. 특히 세츠분 스페셜 때에는 아카네를 두고 멤버를 바꿔가면서 동명의 유닛을 다수 등장시켰다. 바뀌는 멤버는 기존 신데델라 드림에 포함되었던 멤버들. 그러나 미쿠는 없다. ㅜㅜ 그러고 보면 아카네랑 미쿠는 다른 유닛도 짠 적이 없는 것 같다.
91,신데렐라 드림 Ver.8.4,special,,30,19,,,,히노 아카네,코바야카와 사에,,,,2,드림 LIVE 페스티벌 세츠분 SP 때 등장한 유닛. 신데렐라 드림이라는 유닛은 멤버를 조금씩 바꾸어가면서 자주 등장한다. 이 게임에서는 버전 숫자로 구분하고 있다. 특히 세츠분 스페셜 때에는 아카네를 두고 멤버를 바꿔가면서 동명의 유닛을 다수 등장시켰다. 바뀌는 멤버는 기존 신데델라 드림에 포함되었던 멤버들. 그러나 미쿠는 없다. ㅜㅜ 그러고 보면 아카네랑 미쿠는 다른 유닛도 짠 적이 없는 것 같다.
92,신데렐라 드림 Ver.8.5,special,,30,8,,,,히노 아카네,아카기 미리아,,,,2,드림 LIVE 페스티벌 세츠분 SP 때 등장한 유닛. 신데렐라 드림이라는 유닛은 멤버를 조금씩 바꾸어가면서 자주 등장한다. 이 게임에서는 버전 숫자로 구분하고 있다. 특히 세츠분 스페셜 때에는 아카네를 두고 멤버를 바꿔가면서 동명의 유닛을 다수 등장시켰다. 바뀌는 멤버는 기존 신데델라 드림에 포함되었던 멤버들. 그러나 미쿠는 없다. ㅜㅜ 그러고 보면 아카네랑 미쿠는 다른 유닛도 짠 적이 없는 것 같다.
